symbol,grade,score,close,rs_20d,rs_60d
CCL.NS,A,100.0,1173.0,8.8,20.9
FORTIS.NS,A,92.5,989.1,8.22,16.25
HSCL.NS,A,87.5,667.2,9.13,53.47
IPCALAB.NS,A,87.0,1649.4,10.59,15.82
BALRAMCHIN.NS,A,84.5,550.4,9.65,19.87
EQUITASBNK.NS,A,83.5,74.83,7.64,30.79
ASTERDM.NS,A,83.0,766.15,7.56,19.82
ZEEL.NS,A,82.0,111.09,21.16,41.22
AGRITECH.NS,A,81.5,152.16,40.24,45.24
ADANIENSOL.NS,A,80.5,1570.4,20.37,63.66
FEDERALBNK.NS,A,80.5,304.6,6.83,11.75
ELGIEQUIP.NS,A,79.5,597.05,11.14,20.47
QUESS.NS,A,79.0,236.06,9.93,31.49
GAIL.NS,A,79.0,168.6,5.62,13.71
WABAG.NS,A,79.0,1544.3,8.84,31.49
